file name,timestamp,etag
EEG00121.zip,"Mon, 24 Oct 2022 09:02:43 GMT",4e739edf991e7afc71501b67ab360874aad777d21647250e7d97301a11b51ccd
EEG00122.zip,"Mon, 24 Oct 2022 09:10:49 GMT",4a11b85a1d4e44f1e117a1caf6efe999169cce6ff9f6e5898e4c938f60f02008
EEG00123.zip,"Mon, 24 Oct 2022 09:19:08 GMT",73d7c9e93172d568972d5131c2f4b4296f61a79d8edce3e1d6c5fb75e0bc25e6
EEG00124.zip,"Mon, 24 Oct 2022 09:27:15 GMT",219761289dbfe26f6152155c0b01c477c6d4ec49b9ad5d0938303ce921ebe0c0
EEG00125.zip,"Mon, 24 Oct 2022 09:35:21 GMT",ef6719c61e27dc52b75186994faa770544f54f3109f09836f01278baebf1b9d4
EEG00126.zip,"Mon, 24 Oct 2022 09:44:02 GMT",0845be8f399279fed97fbfef45c5de04d512b18901167b6fb984046cb454ca61
EEG00127.zip,"Mon, 24 Oct 2022 09:52:21 GMT",5a975bb81d748e8bfd062675b5853b6327e5cf5f34724017333094dc7e078632
EEG00128.zip,"Mon, 24 Oct 2022 10:00:32 GMT",1054e348ee2de2513384ed9103888df32843516dff6ba5e54382a0f1f3ccd3da
EEG00129.zip,"Mon, 24 Oct 2022 10:08:45 GMT",5a4ffe19520f663bb6d3b805f741839cbad91d7e39a2a3115308584776566753
EEG00130.zip,"Mon, 24 Oct 2022 10:16:55 GMT",34e820845f6460da2e7e93777957de3a6dcd2039bb1305b7884d68eaefa85907
