file name,timestamp,etag
EEG00031.zip,"Thu, 13 Oct 2022 18:11:12 GMT",ee0baf4f9e66ddda3eb59076f3d535c56ecf3e1bb9144d299ce7858c9709fa01
EEG00032.zip,"Thu, 13 Oct 2022 18:19:50 GMT",c9293665aeae78c71c62df9f09b607f70e35b2d9107e0378ace286422a91bae2
EEG00033.zip,"Thu, 13 Oct 2022 18:26:22 GMT",2ab10f21acc68249668753acbd94cb49b494c57be4e4bfd5db0699301e58c682
EEG00034.zip,"Thu, 13 Oct 2022 18:32:05 GMT",97ce2823545763c2d4e5942ac6995990827fd7ff0fc3930b64d0a24f83012723
EEG00035.zip,"Thu, 13 Oct 2022 18:38:29 GMT",2f28abde4157d3410a8fd8affcde80d3aab925562099f4e99db9df0add4ef063
EEG00036.zip,"Thu, 13 Oct 2022 18:44:44 GMT",de8f43feedbcfb61c3aa2b757068204ff5fc8186ca9c2ec943964f12f8561679
EEG00037.zip,"Thu, 13 Oct 2022 18:51:12 GMT",7462cb86cf257a817e3590dcd776bfe13ae59f3fd71ebc0616f8f9d07f7a6095
EEG00038.zip,"Thu, 13 Oct 2022 18:57:21 GMT",66aeefdfdbf0e0dea4e2370f5e33f73bbf66539dc0db9f9bc6ae43519eca0e1a
EEG00039.zip,"Thu, 13 Oct 2022 19:03:23 GMT",846fbafc9983342865a2558980380ed9ab53f7c7e23a69cf00431c02f3d655ce
EEG00040.zip,"Thu, 13 Oct 2022 19:09:31 GMT",4b752247161a6abf97c368888ae7cd2a21516ce1e381aaefba2c99e230589851
